,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
2133,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4051-11-4,UNIVERSIDADE FEDERAL FLUMINENSE,IMPERIAL COLLEGE LONDON
2134,MINAS GERAIS,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4523-08-3,UNIVERSIDADE FEDERAL DE MINAS GERAIS,WEST VIRGINIA UNIVERSITY
2135,SÃO PAULO,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3835-09-0,INSTITUTO DE ENSINO E PESQUISA,HARVARD UNIVERSITY
2136,PARANÁ,2010,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES-ICCTI,2250-10-1,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UNIVERSIDADE DE LISBOA
2137,FLORIDA,2012,2019,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,ARTES,99999.008967/2011-03,UNIVERSITY OF MIAMI,WEST VIRGINIA UNIVERSITY
2138,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4055-11-0,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,LINKÖPINGS UNIVERSITET
2139,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4055-11-0,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,LINKÖPINGS UNIVERSITET
2140, BOTUCATU,2010,2011,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,1058-10-0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNIVERSIDAD DE ALCALÁ
2141,RIO GRANDE DO SUL,2009,2011,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2358-09-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
2142,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/FUNDAÇÃO CAROLINA,0809-11-0,UNIVERSIDADE ESTADUAL DE CAMPINAS,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
2143,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/FUNDAÇÃO CAROLINA,0809-11-0,UNIVERSIDADE ESTADUAL DE CAMPINAS,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
2144,PERNAMBUCO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9081-11-9,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITY OF GUELPH
2145,PERNAMBUCO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9081-11-9,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITY OF GUELPH
2146,PARANÁ,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3686-10-8,UNIVERSIDADE ESTADUAL DE LONDRINA,ISTITUTO AUXOLOGICO ITALIANO
2147,MINAS GERAIS,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4525-08-6,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,PHILIPPS - UNIVERSITÄT MARBURG
2148,RIO GRANDE DO SUL,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/FUNDAÇÃO CAROLINA,3987-10-8,UNIVERSIDADE FEDERAL DE PELOTAS,UNIVERSITAT DE BARCELONA
2149,MARANHÃO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0998-09-5,UNIVERSIDADE FEDERAL DO MARANHÃO,GEORGETOWN UNIVERSITY
2150,SÃO PAULO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2359-09-0,UNIVERSIDADE FEDERAL DE SÃO PAULO,FOX CHASE CANCER CENTER
2151,PERNAMBUCO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FUNDAÇÃO CAROLINA,0812-11-0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITAT POLITECNICA DE CATALUNYA
2152,PERNAMBUCO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FUNDAÇÃO CAROLINA,0812-11-0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITAT POLITECNICA DE CATALUNYA
2153,PERNAMBUCO,2012,2019,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,99999.008895/2011-02,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSITY OF NORTH CAROLINA
2154, CIÊNCIA E TECNOLOGIA DA BAHIA,2011,2012,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,6935-10-9,INSTITUTO FEDERAL DE EDUCAÇÃO,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
2155, CIÊNCIA E TECNOLOGIA DA BAHIA,2011,2012,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,6935-10-9,INSTITUTO FEDERAL DE EDUCAÇÃO,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
2156,SERGIPE,2011,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PROGRAMAS ESTRATÉGICOS,2231-11-5,UNIVERSIDADE TIRADENTES,WAYNE STATE UNIVERSITY
2157,SANTA CATARINA,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3080-11-0,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,INSTITUT D'ÉTUDES POLITIQUES DE PARIS
2158,SANTA CATARINA,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3080-11-0,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,INSTITUT D'ÉTUDES POLITIQUES DE PARIS
2159,SANTA CATARINA,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,COOPERAÇÃO INTERNACIONAL,7083-10-6,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSITÉ DU QUÉBEC
2160,RIO DE JANEIRO,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3745-11-2,UNIVERSIDADE CÂNDIDO MENDES,UNIVERSIDADE DE LISBOA
2161,RIO DE JANEIRO,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3745-11-2,UNIVERSIDADE CÂNDIDO MENDES,UNIVERSIDADE DE LISBOA
2162,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),0915-11-4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,UNIVERSITÉ PARIS-EST MARNE-LA-VALLÉE - PARIS XIV
2163,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),0915-11-4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,UNIVERSITÉ PARIS-EST MARNE-LA-VALLÉE - PARIS XIV
2164,PARÁ,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5239-09-5,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSITÉ PARIS DESCARTES - PARIS V
2165,PARANÁ,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3792-08-0,UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSITAT DE BARCELONA
2166,RIO DE JANEIRO,2009,2010,ESTÁGIO PÓS-DOUTORAL, FAYETTEVILLE,MEDICINA,1051-09-1,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO, FAYETTEVILLE
2167,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1191-10-1,UNIVERSIDADE DE SÃO PAULO (SÃO CARLOS),UNIVERSITY OF SOUTHAMPTON
2168,SÃO PAULO,2012,2013,PÓS-DOUTORADO,,PVE/CSF - PESQUISADOR VISITANTE ESPECIAL - PROGRAMA CIÊNCIA SEM FRONTEIRAS,1150050,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE DE SÃO PAULO
2169, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO,2011,2011,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,0824-11-9,INSTITUTO FEDERAL DE EDUCAÇÃO,UNIVERSITAT DE BARCELONA
2170, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO,2011,2011,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,0824-11-9,INSTITUTO FEDERAL DE EDUCAÇÃO,UNIVERSITAT DE BARCELONA
2171,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/UDELAR - PROJETOS,10886-12-5,UNIVERSIDADE FEDERAL DE SANTA MARIA,UNIVERSIDAD DE LA REPÚBLICA URUGUAY
2172,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),9883-11-8,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,UNIVERSIDADE DO PORTO
2173,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),9883-11-8,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,UNIVERSIDADE DO PORTO
2174,SANTA CATARINA,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5402-09-3,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSITÉ PARIS-EST CRÉTEIL VAL-DE-MARNE - PARIS XII
2175,PARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6630-10-3,UNIVERSIDADE FEDERAL DO PARÁ,TECHNISCHE UNIVERSITÄT DORTMUND
2176,PARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6630-10-3,UNIVERSIDADE FEDERAL DO PARÁ,TECHNISCHE UNIVERSITÄT DORTMUND
2177,RIO DE JANEIRO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6945-10-4,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,COLUMBIA UNIVERSITY
2178,SANTA CATARINA,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1695-11-8,UNIVERSIDADE FEDERAL DE SANTA CATARINA,VANCOUVER ISLAND UNIVERSITY
2179,SANTA CATARINA,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1695-11-8,UNIVERSIDADE FEDERAL DE SANTA CATARINA,VANCOUVER ISLAND UNIVERSITY
2180,PARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),3566-11-0,UNIVERSIDADE FEDERAL DO PARÁ,AGROCAMPUS OUEST
2181,PARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),3566-11-0,UNIVERSIDADE FEDERAL DO PARÁ,AGROCAMPUS OUEST
2182,AMAZONAS,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),9821-12-0,UNIVERSIDADE FEDERAL DO AMAZONAS,UNIVERSITÉ PARIS NORD - PARIS XIII
2183,AMAZONAS,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),9821-12-0,UNIVERSIDADE FEDERAL DO AMAZONAS,UNIVERSITÉ PARIS NORD - PARIS XIII
2184,SANTA CATARINA,2010,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5241-09-0,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,IMPERIAL COLLEGE LONDON
2185,RIO GRANDE DO SUL,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3695-10-7,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNIVERSITY OF PITTSBURGH
2186,MATO GROSSO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9079-11-4,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNIVERSITY OF LONDON
2187,MATO GROSSO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9079-11-4,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNIVERSITY OF LONDON
2188,CEARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),5685-11-7,UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE DE AVEIRO
2189,CEARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),5685-11-7,UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE DE AVEIRO
2190,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),3764-11-7,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDAD DE NAVARRA
2191,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),3764-11-7,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDAD DE NAVARRA
2192,PARANÁ,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/FUNDAÇÃO CAROLINA,0816-11-6,UNIVERSIDADE FEDERAL DO PARANÁ,INSTITUTO DE SALUD CARLOS III
2193,PARANÁ,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/FUNDAÇÃO CAROLINA,0816-11-6,UNIVERSIDADE FEDERAL DO PARANÁ,INSTITUTO DE SALUD CARLOS III
2194,RIO DE JANEIRO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES-ICCTI,4285-09-3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,UNIVERSIDADE DE LISBOA
2195,PARANÁ,2010,2010,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,5334-09-8,UNIVERSIDADE PITÁGORAS UNOPAR,UNIVERSIDADE NOVA DE LISBOA
2196,MINAS GERAIS,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/UDELAR - PROJETOS,0340-10-3,UNIVERSIDADE FEDERAL DE VIÇOSA,UNIVERSIDAD DE LA REPÚBLICA URUGUAY
2197,DISTRITO FEDERAL,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1132-10-5,UNIVERSIDADE DE BRASÍLIA,UNIVERSITÉ PARIS NORD - PARIS XIII
2198,MINAS GERAIS,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3383-11-3,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIVERSITAT AUTÒNOMA DE BARCELONA
2199,MINAS GERAIS,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3383-11-3,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIVERSITAT AUTÒNOMA DE BARCELONA
2200,RIO DE JANEIRO,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,INTERCÂMBIO CIENTÍFICO BRASIL-ALEMANHA DE CURTA DURAÇÃO - CAPES/DAAD,12392-12-0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,UNIVERSITÄT BIELEFELD
2201,SANTA CATARINA,2011,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0618-11-0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,FRIEDRICH-ALEXANDER-UNIVERSITÄT ERLANGEN-NÜRNBERG
2202,SANTA CATARINA,2011,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0618-11-0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,FRIEDRICH-ALEXANDER-UNIVERSITÄT ERLANGEN-NÜRNBERG
2203,SÃO PAULO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2018-09-8,UNIVERSIDADE DE SÃO PAULO,STANFORD UNIVERSITY
2204,DISTRITO FEDERAL,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0927-09-0,UNIVERSIDADE DE BRASÍLIA,AUSTRALIAN NATIONAL UNIVERSITY
2205,DISTRITO FEDERAL,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0927-09-0,UNIVERSIDADE DE BRASÍLIA,AUSTRALIAN NATIONAL UNIVERSITY
2206,MINAS GERAIS,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPCP - PROGRAMA DE PROJETOS CONJUNTOS DE PESQUISA NO MERCOSUL,12686-12-3,UNIVERSIDADE VALE DO RIO DOCE,UNIVERSIDAD NACIONAL DE CÓRDOBA
2207,MINAS GERAIS,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,CAPES/NUFFIC,6797-11-3,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSITEIT LEIDEN
2208,MINAS GERAIS,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,CAPES/NUFFIC,6797-11-3,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSITEIT LEIDEN
2209,SERGIPE,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6632-10-6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UNIVERSITÀ DI PISA
2210,SERGIPE,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6632-10-6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UNIVERSITÀ DI PISA
2211,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9078-11-8,UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIVERSITAT AUTÒNOMA DE BARCELONA
2212,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9078-11-8,UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIVERSITAT AUTÒNOMA DE BARCELONA
2213,ALAGOAS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0619-11-6,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSITÉ RENNES II
2214,ALAGOAS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0619-11-6,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSITÉ RENNES II
2215,SÃO PAULO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2263-09-2,UNIVERSIDADE ESTADUAL DE CAMPINAS,COMMONWEALTH SCIENCE AND INDUSTRIAL RESEARCH ORGANIZATION
2216,MINAS GERAIS,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6531-10-5,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,UNIVERSIDAD COMPLUTENSE DE MADRID
2217,MINAS GERAIS,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6531-10-5,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,UNIVERSIDAD COMPLUTENSE DE MADRID
2218,RIO GRANDE DO SUL,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6946-10-0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,CENTRE INTERNATIONAL DE RECHERCHE SUR LE CANCER
2219,RIO GRANDE DO SUL,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6946-10-0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,CENTRE INTERNATIONAL DE RECHERCHE SUR LE CANCER
2220,CEARÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,3184-10-2,UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSITÉ SORBONNE NOUVELLE - PARIS III
2221,RIO DE JANEIRO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6481-10-8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HELMHOLTZ-ZENTRUM GEESTHACHT
2222,RIO DE JANEIRO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6481-10-8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HELMHOLTZ-ZENTRUM GEESTHACHT
2223,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,MECD ESPANHA,5170-09-5,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDAD DE CASTILLA-LA MANCHA
2224,GOIÁS,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),3594-09-2,UNIVERSIDADE FEDERAL DE GOIÁS,UNIVERSITÉ DE POITIERS
2225,PARÁ,2009,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2260-09-3,UNIVERSIDADE FEDERAL DO PARÁ,COLUMBIA UNIVERSITY
