,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
5446,ESPÍRITO SANTO,2013,2015,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8172-13-7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UNIVERSITY OF OTTAWA
5447,ESPÍRITO SANTO,2013,2015,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8172-13-7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UNIVERSITY OF OTTAWA
5448,ALAGOAS,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8174-13-0,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSITY OF CALGARY
5449,ALAGOAS,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8174-13-0,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSITY OF CALGARY
5450,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8176-13-2,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNIVERSITAT DE BARCELONA
5451,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8176-13-2,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNIVERSITAT DE BARCELONA
5452,SANTA CATARINA,2014,2015,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8199-14-0,UNIVERSIDADE REGIONAL DE BLUMENAU,UNIVERSIDAD DE GRANADA
5453,SANTA CATARINA,2014,2015,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8199-14-0,UNIVERSIDADE REGIONAL DE BLUMENAU,UNIVERSIDAD DE GRANADA
5454,RIO GRANDE DO SUL,2015,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8207-14-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDADE DO PORTO
5455,RIO DE JANEIRO,2015,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,MES CUBA PROJETOS - CAPES/MES CUBA,8255-14-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD DE HOLGUÍN
5456,SÃO PAULO,2015,2017,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PROGRAMA BOLSAS PARA PESQUISA - CAPES/HUMBOLDT,8263-14-0,UNIVERSIDADE DE SÃO PAULO,HUMBOLDT-UNIVERSITAT ZU BERLIN
5457,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/NUFFIC,8324-13-1,UNIVERSIDADE ESTADUAL DE CAMPINAS,HANZEHOGESCHOOL GRONINGEN
5458,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/NUFFIC,8324-13-1,UNIVERSIDADE ESTADUAL DE CAMPINAS,HANZEHOGESCHOOL GRONINGEN
5459,GOIÁS,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,8325-13-8,UNIVERSIDADE FEDERAL DE GOIÁS,CHINESE ACADEMY OF SCIENCES
5460,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,8326-13-4,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITÀ DEGLI STUDI DI FIRENZE
5461,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,8326-13-4,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITÀ DEGLI STUDI DI FIRENZE
5462,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,8328-13-7,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITÀ DEGLI STUDI DI FIRENZE
5463,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,8328-13-7,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSITÀ DEGLI STUDI DI FIRENZE
5464,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/NUFFIC,8329-13-3,UNIVERSIDADE FEDERAL DE PERNAMBUCO,NHTV INTERNATIONAAL HOGER ONDERWIJS BREDA
5465,PERNAMBUCO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/NUFFIC,8329-13-3,UNIVERSIDADE FEDERAL DE PERNAMBUCO,NHTV INTERNATIONAAL HOGER ONDERWIJS BREDA
5466, SÃO JOSÉ DO RIO PRETO,2013,2014,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,8333-13-0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,SÃO PAULO
5467, SÃO JOSÉ DO RIO PRETO,2013,2014,ESTÁGIO PÓS-DOUTORAL,ESPANHA,,8333-13-0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,SÃO PAULO
5468,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8336-14-8,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSITÉ PARIS-SACLAY
5469,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,FRANÇA,,8339-14-7,UNIVERSIDADE DE SÃO PAULO,INSTITUT DE RECHERCHE POUR LE DÉVELOPPEMENT
5470,PARANÁ,2014,2015,ESTÁGIO PÓS-DOUTORAL,FRANÇA,,8345-14-7,UNIVERSIDADE ESTADUAL DE LONDRINA,INSTITUT DE RECHERCHE POUR LE DÉVELOPPEMENT
