,nome_ies_origem_norm,uf_ies_origem,frequencia
1074,the university of auckland,AUCKLAND,1
1075,the university of melbourne,STATE OF VICTORIA,1
1076,the university of sydney,STATE OF NEW SOUTH WALES,1
1077,the university of western australia,STATE OF WESTERN AUSTRALIA,1
1078,tokyo institute of technology,TOKYO-TO,1
1079,tokyo university of marine science and technology,TOKYO-TO,1
1080,virginia state university,VIRGINIA,1
1081,virginia tech,VIRGINIA,1
1082,vrije universiteit amsterdam,PROVINCIE NOORD-HOLLAND,1
1083,the francis crick institute,ENGLAND,1
1084,the hebrew university of jerusalem,JERUSALEM DISTRICT,1
1085,the london college university college kensington,ENGLAND,1
1086,the new school,NEW YORK,1
1087,the new school for social research,NEW YORK,1
1088,university of westminster,ENGLAND,1
1089,university of wollongong,STATE OF NEW SOUTH WALES,1
1090,university of york,ENGLAND,1
1091,univerzita pavla jozefa afarika v koiciach,KOSICKY KRAJ,1
1092,uniwersytet mikoaja kopernika w toruniu,WOJEWODZTWO KUJAWSKO-POMORSKIE,1
1093,uniwersytet warszawski,WOJEWODZTWO MAZOWIECKIE,1
1094,ural federal university,SVERDLOVSKAYA OBLAST',1
1095,victoria university,STATE OF VICTORIA,1
