,nome_ies_origem_norm,uf_ies_origem,frequencia
744,instituto federal de educacao ciencia e tecnologia do amazonas,AMAZONAS,1
745,instituto federal de educacao ciencia e tecnologia do parana,PARANÁ,1
746,instituto federal de educacao ciencia e tecnologia do piaui,PIAUÍ,1
747,instituto federal de educacao ciencia e tecnologia do sertao pernambucano,PERNAMBUCO,1
748,instituto federal de educacao ciencia e tecnologia do sudeste de minas gerais,MINAS GERAIS,1
749,instituto federal de educacao ciencia e tecnologia do sul de minas gerais,MINAS GERAIS,1
750,instituto federal de educacao ciencia e tecnologia do tocantins,TOCANTINS,1
751,instituto federal de educacao ciencia e tecnologia do triangulo mineiro,MINAS GERAIS,1
752,universidade estadual de alagoas,ALAGOAS,1
753,universidade estadual de ciencias da saude de alagoas,ALAGOAS,1
754,universidade estadual de roraima,RORAIMA,1
755,universidade estadual do norte do parana,PARANÁ,1
756,universidade estadual do parana paranavai fafipa,PARANÁ,1
757,universidade estadual do parana reitoria,PARANÁ,1
758,instituto federal de educacao ciencia e tecnologia de minas gerais,MINAS GERAIS,1
759,instituto federal de educacao ciencia e tecnologia de sergipe,SERGIPE,1
760,jyvaskylan yliopisto,PROVINCE OF WESTERN FINLAND,1
761,katholieke universiteit leuven,FLEMISH REGION,1
762,korea advanced institute of science and technology,DAEJEON,1
763,kunstuniversitat linz,OBEROESTERREICH,1
764,kyushu institute of technology,FUKUOKA-KEN,1
765,laboratoire d informatique de robotique et de microelectronique de montpellier,REGION LANGUEDOC-ROUSSILLON,1
766,laboratorio de instrumentacao e fisica experimental de particulas,DISTRITO DE LISBOA,1
767,lawrence berkeley national laboratory,CALIFORNIA,1
768,instituto superior de tecnologias y ciencias aplicadas,PROVINCIA DE LA HABANA,1
769,interdaf leipzig el,FREISTAAT SACHSEN,1
770,international iberian nanotechnology laboratory,DISTRITO DE BRAGA,1
771,istituti di ricovero e cura a carattere scientifico,REGIONE LOMBARDIA,1
772,istituto universitario europeo,ENGLAND,1
773,jindal global university,STATE OF PUNJAB,1
774,johns hopkins health system,MARYLAND,1
775,joint research centre,REGIONE LOMBARDIA,1
776,inst de ensino e pesquisa da santa casa de belo horizonte,MINAS GERAIS,1
777,inst de prev dos servidores do estado de minas gerais,MINAS GERAIS,1
778,institut d etudes politiques de paris,REGION ILE-DE-FRANCE,1
779,institut de ciencies fotoniques,CATALUNYA,1
780,institut de recherche pour le developpement bondy,REGION ILE-DE-FRANCE,1
781,institut de recherche pour le developpement montpellier,REGION LANGUEDOC-ROUSSILLON,1
782,institut francais des sciences et technologies des transports de l amenagement et des reseaux,REGION PAYS DE LA LOIRE,1
783,institut national de la recherche agronomique,REGION CENTRE,1
784,instituto de pesquisas jardim botanico do rio de janeiro,RIO DE JANEIRO,1
785,instituto de previdencia dos servidores do estado de minas gerais,MINAS GERAIS,1
786,instituto de tecnologia de alimentos,SÃO PAULO,1
787,instituto do patrimonio historico e artistico nacional,RIO DE JANEIRO,1
788,instituto federal de educacao ciencia e tecnologia catarinense,SANTA CATARINA,1
789,universidade estadual paulista julio de mesquita filho sao jose dos campos,SÃO PAULO,1
790,universidade federal da paraiba rio tinto,PARAÍBA,1
791,indian institute of technology council system,STATE OF TAMIL NADU,1
792,instituto de aeronautica e espaco,SÃO PAULO,1
793,instituto de ciencia animal,PROVINCIA MAYABEQUE,1
794,instituto de engenharia nuclear,RIO DE JANEIRO,1
795,instituto de ensino e pesquisa da santa casa de belo horizonte,MINAS GERAIS,1
796,instituto de ensino superior e pesquisa,MINAS GERAIS,1
797,instituto de estudos do mar almirante paulo moreira,RIO DE JANEIRO,1
798,instituto de investigacao cientifica tropical,DISTRITO DE LISBOA,1
799,instituto de investigaciones fundamentales en agricultura tropical alejandro de humboldt,PROVINCIA DE LA HABANA,1
800,instituto federal de educacao ciencia e tecnologia farroupilha,RIO GRANDE DO SUL,1
801,instituto gulbenkian de ciencia,DISTRITO DE LISBOA,1
802,instituto internacional de ciencias sociais,SÃO PAULO,1
803,instituto nacional de ciencias agricolas,PROVINCIA MAYABEQUE,1
804,instituto nacional de estudos e pesquisa,BISSAU REGION,1
805,instituto centro de ensino tecnologico,CEARÁ,1
806,instituto chico mendes de conservacao da biodiversidade,DISTRITO FEDERAL,1
807,instituto d or de pesquisa e ensino,RIO DE JANEIRO,1
808,hochschule ostwestfalen lippe,LAND NORDRHEIN-WESTFALEN,1
809,hokkaido university,HOKKAIDO,1
810,illinois institute of technology,ILLINOIS,1
811,fund jorge duprat figueiredo de seguranca e med do trabalho,SÃO PAULO,1
812,fundacao armando alvares penteado,SÃO PAULO,1
813,fundacao de amparo a pesquisa do estado de sao paulo,SÃO PAULO,1
814,fundacao de amparo a pesquisa do estado do maranhao,MARANHÃO,1
815,fundacao de medicina tropical dr heitor vieira dourado,AMAZONAS,1
816,griffith university,STATE OF QUEENSLAND,1
817,hacettepe universitesi,ANKARA,1
818,hanyang university,SEOUL-TEUKBYEOLSI,1
819,helmholtz zentrum geesthacht,FREISTAAT SACHSEN,1
820,helmholtz zentrum geesthacht,LAND NIEDERSACHSEN,1
821,hiroshima university,HIROSHIMA-KEN,1
822,hochschule fur angewandte wissenschaften hamburg,FREIE UND HANSESTADT HAMBURG,1
823,hochschule fur kunste bremen,BREMEN,1
