,nome_ies_destino_norm,pais_ies_destino,frequencia
262,friedrich schiller universitat jena,ALEMANHA,34
263,fraunhofer gesellschaft,ALEMANHA,34
264,universidad del pais vasco,ESPANHA,34
265,universidad nacional de rosario,ARGENTINA,33
266,universite paris saclay,FRANÇA,33
267,johannes gutenberg universitat mainz,ALEMANHA,33
268,university of st andrews,REINO UNIDO,33
269,friedrich alexander universitat erlangen nurnberg,ALEMANHA,33
270,george washington university,ESTADOS UNIDOS,33
271,georgetown university,ESTADOS UNIDOS,33
272,universite paul valery montpellier,FRANÇA,33
273,universidade lusofona de humanidades e tecnologias,PORTUGAL,33
274,queen s university,CANADÁ,32
275,universitat jaume i,ESPANHA,32
276,carleton university,CANADÁ,32
277,university of east anglia,REINO UNIDO,32
278,universidad de malaga,ESPANHA,32
279,university of aberdeen,REINO UNIDO,32
280,smithsonian national museum of natural history,ESTADOS UNIDOS,31
281,monash university,AUSTRÁLIA,31
282,universitat de girona,ESPANHA,31
283,cardiff university,REINO UNIDO,31
284,leibniz universitat hannover,ALEMANHA,31
285,university of delaware,ESTADOS UNIDOS,31
286,consiglio nazionale delle ricerche,ITÁLIA,31
287,tufts university,ESTADOS UNIDOS,31
288,universidad de almeria,ESPANHA,31
289,university of dublin trinity college dublin,IRLANDA,31
290,julius maximilians universitat wurzburg,ALEMANHA,30
291,universite stendhal grenoble iii,FRANÇA,30
292,ruhr universitat bochum,ALEMANHA,30
293,university of missouri columbia,ESTADOS UNIDOS,30
294,university of strathclyde,REINO UNIDO,30
295,institut national de recherche en informatique et automatique,FRANÇA,30
296,universidade de vigo,ESPANHA,30
297,karolinska institutet,SUÉCIA,30
298,universiteit antwerpen,BÉLGICA,30
299,durham university,REINO UNIDO,30
300,universitat hohenheim,ALEMANHA,30
301,institut nationale de la sante et de le recherche medicale,FRANÇA,30
302,instituto politecnico de braganca,PORTUGAL,30
303,universita degli studi di napoli federico ii,ITÁLIA,29
304,universidade estadual de londrina,BRASIL,29
305,ohio university,ESTADOS UNIDOS,29
306,universidade federal do para,BRASIL,29
307,universidade federal de pelotas,BRASIL,29
308,university of warwick,REINO UNIDO,29
309,university of sussex,REINO UNIDO,29
310,commonwealth science and industrial research organization,AUSTRÁLIA,28
311,institut de recherche pour le developpement montpellier,FRANÇA,28
312,the university of kansas,ESTADOS UNIDOS,28
313,washington state university,ESTADOS UNIDOS,28
314,university of virginia,ESTADOS UNIDOS,28
315,universite montpellier ii,FRANÇA,28
316,institut d etudes politiques de paris,FRANÇA,28
317,universita degli studi di roma tor vergata,ITÁLIA,28
318,universitat wien,ÁUSTRIA,28
319,escola superior de enfermagem do porto,PORTUGAL,28
320,australian national university,AUSTRÁLIA,27
321,universite de cergy pontoise,FRANÇA,27
322,stockholms universitet,SUÉCIA,27
323,auburn university,ESTADOS UNIDOS,27
324,universiteit maastricht,HOLANDA,27
325,university of leicester,REINO UNIDO,27
326,university of hawaii system,ESTADOS UNIDOS,27
327,university of gothenburg,SUÉCIA,27
328,texas tech university,ESTADOS UNIDOS,27
329,universitat des saarlandes,ALEMANHA,27
330,generalitat de catalunya,ESPANHA,27
331,universidad rey juan carlos,ESPANHA,27
332,mcmaster university,CANADÁ,27
333,universitat de lleida,ESPANHA,27
334,universite pantheon sorbonne paris i,FRANÇA,27
335,universitetet i oslo,NORUEGA,27
336,university of victoria,CANADÁ,26
337,smithsonian institution,ESTADOS UNIDOS,26
338,universite de rouen,FRANÇA,26
339,university of saskatchewan,CANADÁ,26
340,west virginia university,ESTADOS UNIDOS,26
341,universidade federal de uberlandia,BRASIL,26
342,university of adelaide,AUSTRÁLIA,26
343,universidade federal de sao paulo,BRASIL,26
344,university of exeter,REINO UNIDO,26
345,universidad autonoma metropolitana,MÉXICO,26
346,universita degli studi roma tre,ITÁLIA,26
347,georgia institute of technology,ESTADOS UNIDOS,26
348,utah state university,ESTADOS UNIDOS,25
349,university of utah,ESTADOS UNIDOS,25
350,carnegie mellon university,ESTADOS UNIDOS,25
351,university of south florida,ESTADOS UNIDOS,25
352,northeastern university,ESTADOS UNIDOS,25
353,universita ca foscari di venezia,ITÁLIA,25
354,aalborg universitet,DINAMARCA,25
355,universite paris est marne la vallee paris xiv,FRANÇA,25
356,university of new mexico,ESTADOS UNIDOS,25
357,florida state university,ESTADOS UNIDOS,25
358,ecole pratique des hautes etudes,FRANÇA,25
359,universitat zu koln,ALEMANHA,25
360,universidade federal de goias,BRASIL,25
361,the new school,ESTADOS UNIDOS,24
362,university of salford,REINO UNIDO,24
363,universidad de oviedo,ESPANHA,24
364,new york botanical garden,ESTADOS UNIDOS,24
365,international iberian nanotechnology laboratory,PORTUGAL,24
366,pontificia universidad catolica de chile,CHILE,24
367,universidad nacional de educacion a distancia,ESPANHA,24
368,universidad nacional del litoral,ARGENTINA,24
369,syddansk universitet,DINAMARCA,24
370,institut national de la recherche agronomique clermont ferrand,FRANÇA,24
371,simon fraser university,CANADÁ,24
372,technische universitat darmstadt,ALEMANHA,23
373,institut pasteur paris,FRANÇA,23
374,open university,REINO UNIDO,23
375,justus liebig universitat giessen,ALEMANHA,23
376,universite de limoges,FRANÇA,23
377,university of dundee,REINO UNIDO,23
378,universidad de chile,CHILE,23
379,technische universitat kaiserslautern,ALEMANHA,23
380,universite de picardie jules verne,FRANÇA,23
381,universitat zurich,SUÍÇA,23
382,universitat potsdam,ALEMANHA,23
383,ecole polytechnique federale de lausanne,SUÍÇA,23
384,florida international university,ESTADOS UNIDOS,23
385,universidade de lisboa instituto de ciencias sociais lisboa,PORTUGAL,23
386,arizona state university,ESTADOS UNIDOS,23
387,academisch centrum tandheelkunde amsterdam,HOLANDA,23
388,linkopings universitet,SUÉCIA,22
389,kungliga tekniska hogskolan,SUÉCIA,22
390,university of bath,REINO UNIDO,22
391,universidade estadual de maringa,BRASIL,22
392,queen s university belfast,REINO UNIDO,22
393,brunel university,REINO UNIDO,22
394,technische universitat braunschweig,ALEMANHA,22
395,universidad pablo de olavide,ESPANHA,22
396,universidad nacional de colombia,COLÔMBIA,22
397,european organization for nuclear research,SUÍÇA,22
398,university of notre dame,ESTADOS UNIDOS,22
399,the university of auckland,NOVA ZELÂNDIA,22
400,universidad nacional de rio cuarto,ARGENTINA,22
401,universite de lausanne,SUÍÇA,22
402,universitat stuttgart,ALEMANHA,22
403,universidad nacional de cuyo,ARGENTINA,21
404,institut national des sciences appliquees,FRANÇA,21
405,universita del salento,ITÁLIA,21
406,universita degli studi di milano bicocca milano,ITÁLIA,21
407,universita degli studi di ferrara,ITÁLIA,21
408,universidad nacional del sur,ARGENTINA,21
409,universite de bordeaux,FRANÇA,21
410,loughborough university,REINO UNIDO,21
411,university college dublin,IRLANDA,21
412,instituto de engenharia de sistemas e computadores,PORTUGAL,21
413,university of central florida,ESTADOS UNIDOS,21
414,university of portsmouth,REINO UNIDO,21
415,associacao instituto nacional de matematica pura e aplicada,BRASIL,21
416,vanderbilt university,ESTADOS UNIDOS,21
417,ruprecht karls universitat heidelberg,ALEMANHA,21
418,universite clermont auvergne,FRANÇA,21
419,martin luther universitat halle wittenberg,ALEMANHA,21
420,macquarie university,AUSTRÁLIA,21
421,clemson university,ESTADOS UNIDOS,21
422,generalitat valenciana,ESPANHA,20
423,escola superior de enfermagem de coimbra,PORTUGAL,20
424,emory university,ESTADOS UNIDOS,20
425,universita degli studi di parma,ITÁLIA,20
426,universite lille 3 sciences humaines et sociales,FRANÇA,20
427,universidad de leon,ESPANHA,20
428,universitat bayreuth,ALEMANHA,20
429,university of nevada reno,ESTADOS UNIDOS,20
